time,hr,quality,roi_name,skin_ratio,motion,fps,hr_method,hr_peak,hr_fft
17:40:41,120.5,70.0,p60f40,0.976,1.7,30.3,p60f40,72.3,65.7
17:40:41,120.4,61.0,peak,0.987,1.7,30.3,peak,73.9,65.0
17:40:42,120.2,71.0,peak,0.98,0.0,30.3,peak,72.5,64.5
17:40:42,120.0,66.0,peak,0.972,1.7,30.0,peak,72.5,64.5
17:40:42,119.9,70.0,peak,0.973,2.9,30.0,peak,72.3,63.4
17:40:43,119.7,70.0,peak,0.965,2.9,30.0,peak,72.3,58.0
17:40:43,119.6,69.0,peak,0.969,1.7,30.0,peak,73.4,56.5
17:40:43,119.4,74.0,peak,0.972,1.7,29.9,peak,72.5,55.6
17:40:43,119.2,65.0,p60f40,0.969,1.7,29.9,p60f40,74.3,73.0
17:40:44,119.1,56.0,p60f40,0.965,1.9,29.9,p60f40,75.4,73.7
17:40:44,118.9,56.0,p60f40,0.974,0.0,29.8,p60f40,75.4,74.4
17:40:44,118.8,61.0,peak,0.992,4.9,29.8,peak,75.4,57.6
17:40:44,118.6,53.0,peak,0.981,2.8,29.8,peak,75.4,57.6
17:40:45,118.4,64.0,peak,0.974,0.0,29.8,peak,74.8,57.8
17:40:45,118.3,52.0,peak,0.993,5.6,30.0,peak,83.6,57.6
17:40:45,118.1,48.0,peak,1.0,6.1,30.0,peak,90.5,57.9
17:40:45,118.0,66.0,peak,0.982,0.0,30.0,peak,74.8,56.4
17:40:46,117.8,66.0,peak,0.985,7.4,30.0,peak,74.8,59.0
17:40:46,117.6,68.0,peak,0.948,1.8,30.0,peak,74.8,60.3
17:40:46,117.5,65.0,peak,0.978,0.0,30.0,peak,74.8,60.7
17:40:47,117.3,65.0,peak,0.975,2.0,30.0,peak,74.8,60.7
17:40:47,117.2,43.0,peak,0.97,2.1,30.0,peak,124.7,60.9
17:40:47,117.0,41.0,peak,0.982,4.4,29.9,peak,81.3,59.9
17:40:47,116.8,66.0,peak,0.982,1.9,29.9,peak,74.8,59.1
17:40:48,116.7,65.0,peak,0.983,1.7,29.9,peak,74.8,57.8
17:40:48,116.5,44.0,peak,0.99,0.0,29.9,peak,81.0,56.7
17:40:48,116.3,45.0,peak,0.982,2.6,30.1,peak,111.9,55.8
17:40:48,116.2,41.0,peak,0.991,2.1,30.1,peak,111.9,55.2
17:40:49,116.0,62.0,peak,0.992,0.0,30.1,peak,78.2,54.3
17:40:49,115.9,61.0,peak,0.992,2.5,30.1,peak,78.2,57.8
17:40:49,115.7,56.0,peak,0.992,2.0,29.5,peak,78.2,57.8
17:40:49,115.6,45.0,peak,0.985,0.0,29.5,peak,111.9,57.8
17:40:50,115.4,49.0,peak,0.993,1.9,29.5,peak,81.4,58.0
17:40:50,115.2,57.0,peak,0.986,1.5,29.9,peak,107.9,50.5
17:40:50,115.1,56.0,peak,0.996,0.0,29.9,peak,107.9,58.0
17:40:51,114.9,58.0,peak,0.999,2.1,29.9,peak,113.6,49.6
17:40:51,114.7,46.0,peak,0.998,1.5,29.9,peak,107.9,58.1
17:40:51,114.6,44.0,peak,0.993,0.0,30.3,peak,81.4,51.1
17:40:51,114.4,52.0,peak,0.995,1.5,30.3,peak,78.2,51.2
17:40:52,114.3,40.0,peak,0.993,1.5,30.3,peak,106.3,51.6
17:40:52,114.1,61.0,peak,0.99,0.0,30.3,peak,68.4,51.6
17:40:52,113.9,61.0,peak,0.991,2.6,29.7,peak,67.8,51.8
17:40:52,113.8,57.0,p60f40,0.993,1.6,29.7,p60f40,68.5,76.0
17:40:53,113.6,56.0,p60f40,0.99,2.0,29.7,p60f40,70.4,75.1
17:40:53,113.5,45.0,peak,0.992,1.5,29.7,peak,104.7,73.4
17:40:53,113.3,60.0,peak,0.994,1.5,29.8,peak,107.9,72.2
17:40:53,113.1,59.0,p60f40,0.99,0.0,29.8,p60f40,68.5,71.3
17:40:54,113.0,57.0,peak,0.993,3.1,29.8,peak,107.9,70.4
17:40:54,112.8,61.0,peak,0.985,5.7,29.8,peak,107.9,69.5
17:40:54,112.7,63.0,peak,0.99,0.0,29.7,peak,114.1,68.6
17:40:55,112.5,60.0,peak,0.996,8.4,29.7,peak,124.7,68.2
17:40:55,112.3,60.0,peak,0.995,5.8,29.7,peak,124.7,68.0
17:40:55,112.4,79.0,peak,0.994,0.0,30.5,peak,128.5,68.4
17:40:55,112.6,62.0,peak,0.998,1.3,30.5,peak,115.3,69.7
17:40:56,112.8,54.0,p60f40,0.984,2.5,30.5,p60f40,68.9,71.3
17:40:56,112.9,56.0,peak,0.991,0.0,30.5,peak,121.1,71.1
17:40:56,113.1,61.0,p60f40,0.996,3.1,29.7,p60f40,67.5,71.9
17:40:56,113.3,62.0,peak,0.994,7.4,29.7,peak,121.1,71.9
17:40:57,113.4,62.0,peak,0.994,0.0,29.7,peak,124.7,72.9
17:40:57,113.5,53.0,p60f40,0.995,6.1,29.7,p60f40,74.2,73.5
17:40:57,113.4,56.0,p60f40,1.0,3.9,29.9,p60f40,72.1,72.5
17:40:58,113.2,64.0,p60f40,0.999,0.0,29.9,p60f40,67.1,60.5
17:40:58,113.0,68.0,p60f40,1.0,2.2,29.9,p60f40,66.5,61.5
17:40:58,112.9,45.0,peak,0.996,5.9,29.9,peak,76.5,62.2
17:40:58,112.7,48.0,peak,0.998,0.0,29.7,peak,109.5,64.8
17:40:59,112.6,49.0,peak,0.997,0.0,29.7,peak,76.9,65.6
17:40:59,112.4,57.0,p60f40,1.0,4.1,29.7,p60f40,73.1,66.1
17:40:59,112.2,43.0,peak,1.0,0.0,29.6,peak,112.3,65.9
17:40:59,112.1,54.0,p60f40,0.994,0.0,29.6,p60f40,73.1,66.1
17:41:00,111.9,55.0,peak,1.0,2.1,29.6,peak,74.6,66.3
17:41:00,111.8,82.0,p60f40,1.0,0.0,29.6,p60f40,66.2,66.5
17:41:00,111.6,52.0,peak,1.0,2.8,30.2,peak,75.0,66.6
17:41:00,111.4,75.0,p60f40,1.0,1.6,30.2,p60f40,64.7,66.8
17:41:01,111.3,62.0,p60f40,0.999,0.0,30.2,p60f40,74.2,66.8
17:41:01,111.1,57.0,peak,1.0,1.5,30.2,peak,75.0,66.9
17:41:01,111.0,63.0,p60f40,0.999,1.4,29.8,p60f40,74.2,66.9
17:41:02,110.8,65.0,p60f40,1.0,0.0,29.8,p60f40,74.6,67.0
17:41:02,110.6,58.0,p60f40,0.998,2.7,29.8,p60f40,74.2,66.7
17:41:02,110.5,67.0,peak,1.0,1.6,29.8,peak,74.6,66.5
17:41:02,110.3,66.0,peak,0.992,0.0,30.3,peak,75.0,65.8
17:41:03,110.1,57.0,peak,0.997,1.6,30.3,peak,75.9,64.6
17:41:03,110.0,53.0,peak,0.989,1.8,30.3,peak,76.8,62.5
17:41:03,109.8,67.0,peak,0.998,0.0,30.3,peak,74.9,61.3
17:41:03,109.7,67.0,peak,0.966,5.7,30.2,peak,74.2,60.8
17:41:04,109.5,67.0,peak,0.923,2.2,30.2,peak,74.2,60.0
17:41:04,109.3,64.0,p60f40,0.978,0.0,30.2,p60f40,71.9,79.1
17:41:04,109.2,61.0,peak,0.996,9.6,30.2,peak,68.6,53.4
17:41:04,109.0,61.0,peak,0.997,1.5,29.4,peak,67.0,51.8
17:41:05,108.9,63.0,peak,0.999,0.0,29.4,peak,71.9,51.1
17:41:05,108.7,63.0,peak,0.995,2.9,29.4,peak,75.0,50.8
17:41:05,108.5,54.0,peak,0.996,1.5,29.4,peak,75.9,51.1
17:41:06,108.4,43.0,peak,0.994,0.0,29.5,peak,76.8,51.5
17:41:06,108.2,56.0,peak,1.0,4.8,29.5,peak,72.8,51.9
17:41:06,108.1,59.0,peak,0.999,1.5,29.5,peak,67.0,53.2
17:41:06,107.9,52.0,peak,1.0,2.8,30.6,peak,72.8,54.0
17:41:07,107.7,49.0,peak,0.997,2.2,30.6,peak,76.8,55.0
17:41:07,107.6,58.0,peak,0.998,2.8,30.6,peak,65.6,55.7
17:41:07,107.4,61.0,peak,0.995,0.0,30.6,peak,69.1,56.2
17:41:07,107.3,46.0,peak,0.995,2.6,29.9,peak,76.8,58.3
17:41:08,107.1,63.0,peak,1.0,2.5,29.9,peak,70.1,59.1
17:41:08,106.9,80.0,peak,0.999,1.9,29.9,peak,69.1,59.7
17:41:08,106.8,63.0,peak,1.0,2.0,29.9,peak,69.1,60.5
17:41:08,106.6,64.0,peak,1.0,3.4,29.8,peak,69.1,60.8
17:41:09,106.5,80.0,p60f40,0.998,0.0,29.8,p60f40,69.1,61.7
17:41:09,106.3,72.0,p60f40,0.998,2.7,29.8,p60f40,63.7,62.1
17:41:09,106.1,73.0,p60f40,1.0,1.8,29.8,p60f40,63.7,62.5
17:41:10,106.0,70.0,p60f40,0.997,2.5,29.6,p60f40,66.3,62.9
17:41:10,105.8,65.0,p60f40,0.997,2.1,29.6,p60f40,66.3,62.6
17:41:10,105.7,63.0,p60f40,0.995,1.9,29.6,p60f40,69.1,63.7
17:41:10,105.5,61.0,p60f40,0.994,0.0,29.6,p60f40,69.1,63.5
17:41:11,105.3,69.0,p60f40,0.986,1.4,30.3,p60f40,69.1,63.1
17:41:11,105.2,55.0,peak,0.983,1.7,30.3,peak,76.0,64.0
17:41:11,105.0,60.0,peak,0.989,0.0,30.3,peak,76.0,64.4
17:41:16,64.9,61.0,peak,0.987,1.6,30.0,peak,64.9,48.2
17:41:17,64.9,66.0,p60f40,0.983,1.8,29.8,p60f40,66.8,63.3
17:41:17,64.8,66.0,p60f40,0.99,0.0,29.8,p60f40,64.6,59.1
17:41:17,64.8,66.0,peak,0.988,1.6,29.8,peak,64.6,50.7
17:41:17,64.8,59.0,peak,0.988,1.6,29.8,peak,64.9,51.5
17:41:18,64.7,57.0,p60f40,0.99,0.0,30.2,p60f40,64.9,61.3
17:41:18,64.7,50.0,peak,0.995,1.5,30.2,peak,76.7,52.6
17:41:18,64.7,48.0,peak,0.993,1.5,30.2,peak,76.7,53.5
17:41:18,64.7,73.0,peak,0.991,1.5,30.2,peak,107.6,54.1
17:41:19,64.9,52.0,peak,0.993,1.7,29.7,peak,73.9,60.2
17:41:19,65.1,65.0,peak,0.995,1.6,29.7,peak,115.9,54.2
17:41:19,65.2,72.0,peak,0.987,0.0,29.7,peak,117.1,54.8
17:41:19,65.4,56.0,peak,0.99,1.6,29.7,peak,107.6,54.3
17:41:20,65.5,56.0,peak,0.992,1.7,30.1,peak,107.6,59.4
17:41:20,65.7,54.0,peak,0.993,0.0,30.1,peak,115.9,54.9
17:41:20,65.9,54.0,peak,0.988,1.6,30.1,peak,115.9,54.7
17:41:21,66.0,74.0,peak,0.994,1.5,30.1,peak,115.9,54.5
17:41:21,66.2,73.0,peak,0.995,0.0,29.5,peak,120.4,54.8
17:41:21,66.3,73.0,peak,0.997,1.9,29.5,peak,120.4,55.0
17:41:21,66.5,73.0,peak,0.992,3.1,29.5,peak,120.4,55.2
17:41:22,66.7,73.0,peak,0.992,0.0,29.5,peak,120.4,55.0
17:41:22,66.8,74.0,peak,0.994,1.7,29.8,peak,115.9,55.1
17:41:22,67.0,76.0,peak,0.986,1.4,29.8,peak,118.1,55.0
17:41:22,67.1,70.0,peak,0.991,0.0,29.8,peak,120.4,55.8
17:41:23,67.3,80.0,peak,0.989,1.5,30.3,peak,120.4,55.7
17:41:23,67.5,62.0,peak,0.985,2.6,30.3,peak,115.9,126.8
17:41:23,67.6,71.0,peak,0.991,0.0,30.3,peak,118.1,127.1
17:41:23,67.8,76.0,p60f40,0.992,2.8,30.3,p60f40,120.4,127.6
17:41:24,67.9,79.0,peak,0.993,1.5,29.8,peak,120.4,128.8
17:41:24,68.1,66.0,peak,0.992,0.0,29.8,peak,120.4,55.5
17:41:24,68.3,80.0,peak,0.995,1.6,29.8,peak,118.1,55.9
17:41:25,68.4,77.0,peak,0.996,1.5,29.8,peak,120.4,56.6
17:41:25,68.6,83.0,peak,1.0,0.0,29.8,peak,120.7,56.9
17:41:25,68.8,80.0,peak,0.997,1.9,29.8,peak,120.4,57.6
17:41:25,68.9,79.0,peak,0.999,1.5,29.8,peak,120.4,58.3
17:41:26,69.1,61.0,peak,0.996,2.2,29.8,peak,120.4,59.3
17:41:26,69.2,77.0,peak,0.993,1.6,30.2,peak,120.7,60.8
17:41:26,69.4,49.0,p60f40,0.993,1.5,30.2,p60f40,68.0,62.0
17:41:26,69.6,50.0,peak,0.994,0.0,30.2,peak,104.6,62.7
17:41:27,69.7,49.0,peak,0.989,1.6,30.2,peak,104.6,63.3
17:41:27,69.9,64.0,peak,0.989,1.5,29.9,peak,104.6,63.9
17:41:27,70.0,82.0,peak,0.992,0.0,29.9,peak,107.2,64.4
17:41:27,70.2,81.0,peak,0.993,1.5,29.9,peak,104.3,65.0
17:41:28,70.4,63.0,peak,0.985,1.5,29.8,peak,104.3,66.0
17:41:28,70.5,63.0,peak,0.992,0.0,29.8,peak,104.3,66.9
17:41:28,70.7,54.0,peak,0.99,1.4,29.8,peak,103.0,67.7
17:41:29,70.8,63.0,peak,0.996,1.5,29.8,peak,102.1,68.7
17:41:29,71.0,84.0,peak,0.995,0.0,29.9,peak,103.0,69.0
17:41:29,71.2,77.0,peak,0.989,3.7,29.9,peak,103.6,69.2
17:41:29,71.3,65.0,peak,0.997,2.3,29.9,peak,101.2,82.5
17:41:30,71.5,67.0,peak,0.99,0.0,29.9,peak,102.1,84.0
17:41:30,71.6,61.0,peak,0.993,0.0,30.1,peak,104.3,85.8
17:41:30,71.8,55.0,peak,0.987,0.0,30.1,peak,103.0,86.6
17:41:30,72.0,70.0,peak,0.991,1.9,30.1,peak,104.6,88.1
17:41:31,72.1,67.0,peak,0.993,2.8,30.1,peak,104.9,89.6
17:41:31,72.3,57.0,peak,0.996,1.6,29.7,peak,103.9,90.8
17:41:31,72.4,67.0,peak,0.993,0.0,29.7,peak,103.0,92.4
17:41:32,72.6,72.0,p60f40,0.988,3.0,29.7,p60f40,101.8,94.3
17:41:32,72.8,78.0,p60f40,0.99,2.0,29.7,p60f40,103.9,96.2
17:41:32,72.9,78.0,p60f40,0.993,0.0,29.4,p60f40,103.9,97.2
17:41:32,73.1,77.0,peak,0.984,1.7,29.4,peak,108.5,98.1
17:41:33,73.2,73.0,peak,0.976,1.6,29.4,peak,104.9,50.8
17:41:33,73.4,75.0,peak,0.979,0.0,30.4,peak,103.7,51.2
17:41:33,73.6,62.0,peak,0.982,1.5,30.4,peak,114.3,51.3
17:41:33,73.7,69.0,peak,0.98,1.4,30.4,peak,115.8,51.5
17:41:34,73.9,70.0,peak,0.984,0.0,30.4,peak,117.3,51.8
17:41:34,74.0,69.0,peak,0.972,2.4,30.2,peak,115.8,52.1
17:41:34,74.2,67.0,peak,0.991,1.5,30.2,peak,117.3,52.8
17:41:34,74.4,67.0,peak,0.987,0.0,30.2,peak,117.3,53.0
17:41:35,74.5,67.0,peak,0.985,6.3,30.2,peak,113.3,53.4
17:41:35,74.7,64.0,peak,0.958,3.9,29.9,peak,113.3,53.3
17:41:35,74.8,69.0,peak,0.943,0.0,29.9,peak,119.6,53.0
17:41:36,75.0,69.0,peak,0.96,4.5,29.9,peak,119.6,52.7
17:41:36,75.2,65.0,peak,0.971,11.5,29.9,peak,113.3,52.2
17:41:36,75.3,78.0,peak,0.993,13.1,29.9,peak,128.6,51.4
17:41:36,75.5,71.0,peak,0.985,6.6,29.9,peak,126.7,54.7
17:41:37,75.6,75.0,peak,0.971,8.8,29.9,peak,135.1,54.4
17:41:37,75.8,79.0,peak,0.956,0.0,29.9,peak,131.6,54.3
17:41:37,76.0,75.0,peak,0.957,1.7,29.2,peak,135.1,54.4
17:41:37,76.1,79.0,peak,0.956,2.9,29.2,peak,131.6,54.3
17:41:38,76.3,82.0,peak,0.963,0.0,29.2,peak,131.6,54.2
17:41:38,76.4,82.0,peak,0.954,1.6,30.6,peak,131.6,54.0
17:41:38,76.6,82.0,peak,0.954,1.7,30.6,peak,140.0,53.7
17:41:38,76.8,81.0,peak,0.947,0.0,30.6,peak,135.5,53.5
17:41:39,76.9,58.0,p60f40,0.947,1.7,30.6,p60f40,69.2,61.9
17:41:39,77.1,47.0,peak,0.951,2.9,30.0,peak,104.9,61.1
17:41:39,77.2,38.0,peak,0.947,0.0,30.0,peak,117.3,59.9
17:41:40,77.4,74.0,peak,0.951,1.8,30.0,peak,137.4,58.9
17:41:40,77.6,70.0,peak,0.952,1.7,30.0,peak,117.3,58.6
17:41:40,77.7,66.0,peak,0.942,1.7,29.7,peak,73.4,57.4
17:41:40,77.9,38.0,peak,0.946,1.9,29.7,peak,117.3,57.0
17:41:41,78.1,35.0,peak,0.941,1.7,29.7,peak,133.7,57.3
17:41:41,78.2,60.0,peak,0.944,0.0,29.7,peak,74.3,56.9
17:41:41,78.4,42.0,peak,0.956,1.7,29.9,peak,118.6,57.1
17:41:41,78.5,81.0,peak,0.943,1.6,29.9,peak,141.7,57.3
17:41:42,78.7,58.0,peak,0.948,0.0,29.9,peak,79.2,57.3
17:41:42,78.9,62.0,peak,0.955,2.9,29.9,peak,73.4,56.7
17:41:42,78.9,66.0,peak,0.953,0.0,29.7,peak,78.6,56.3
17:41:42,78.9,66.0,peak,0.948,0.0,29.7,peak,78.6,56.4
17:41:43,78.9,65.0,peak,0.949,0.0,29.7,peak,79.2,56.8
17:41:43,78.9,70.0,peak,0.943,1.6,30.2,peak,78.6,57.3
17:41:43,78.8,51.0,peak,0.972,0.0,30.2,peak,100.4,58.0
17:41:44,78.8,49.0,peak,0.982,4.0,30.2,peak,100.4,58.8
17:41:44,78.9,53.0,peak,0.978,1.5,30.2,peak,100.2,60.0
17:41:44,79.0,52.0,peak,0.978,0.0,29.9,peak,100.2,61.4
17:41:44,79.2,54.0,peak,0.97,4.8,29.9,peak,100.4,62.8
17:41:45,79.3,52.0,peak,0.945,4.9,29.9,peak,100.4,63.4
17:41:45,79.5,60.0,peak,0.958,0.0,29.9,peak,106.6,64.6
17:41:45,79.6,58.0,peak,0.948,2.0,29.9,peak,100.4,65.1
17:41:45,79.8,67.0,peak,0.946,1.7,29.9,peak,103.5,65.3
17:41:46,80.0,67.0,p60f40,0.944,3.2,29.9,p60f40,102.7,103.0
17:41:46,80.1,58.0,p60f40,0.941,3.6,29.9,p60f40,102.7,103.1
17:41:46,80.3,59.0,p60f40,0.933,1.6,30.3,p60f40,100.4,102.8
17:41:46,80.5,56.0,p60f40,0.926,0.0,30.3,p60f40,100.4,102.7
17:41:47,80.6,56.0,p60f40,0.944,1.6,30.3,p60f40,99.9,103.2
17:41:47,80.8,55.0,p60f40,0.943,1.6,30.3,p60f40,100.4,103.0
17:41:47,80.9,56.0,p60f40,0.94,0.0,29.8,p60f40,100.2,101.6
17:41:48,81.1,58.0,p60f40,0.945,1.6,29.8,p60f40,100.2,101.5
17:41:48,81.3,62.0,p60f40,0.952,1.6,29.8,p60f40,99.9,101.3
17:41:48,81.4,57.0,p60f40,0.947,3.0,29.4,p60f40,100.2,100.7
17:41:48,81.6,67.0,peak,0.949,1.6,29.4,peak,90.1,100.8
17:41:49,81.7,61.0,peak,0.954,1.7,29.4,peak,100.2,81.6
17:41:49,81.9,67.0,peak,0.954,1.7,29.4,peak,90.1,81.7
17:41:49,82.1,60.0,peak,0.951,1.7,30.5,peak,97.4,81.3
17:41:49,82.2,54.0,p60f40,0.951,1.6,30.5,p60f40,84.1,80.5
17:41:50,82.4,67.0,p60f40,0.947,0.0,30.5,p60f40,86.0,78.8
17:41:50,82.5,59.0,p60f40,0.95,1.7,30.5,p60f40,75.3,76.4
17:41:50,82.6,64.0,peak,0.956,1.7,29.5,peak,84.1,74.9
17:41:50,82.7,65.0,peak,0.943,1.7,29.5,peak,95.0,74.0
17:41:51,82.8,60.0,peak,0.943,1.9,29.5,peak,99.9,73.2
17:41:51,82.9,58.0,peak,0.949,1.7,29.5,peak,95.0,72.9
17:41:51,83.0,63.0,p60f40,0.944,3.1,30.1,p60f40,75.5,72.6
17:41:52,83.0,68.0,peak,0.973,3.0,30.1,peak,75.3,54.4
17:41:52,83.1,65.0,peak,0.966,1.7,30.1,peak,75.5,53.5
17:41:52,82.9,64.0,peak,0.967,0.0,30.1,peak,75.3,51.8
17:41:52,82.8,64.0,peak,0.956,1.6,29.8,peak,75.3,49.9
17:41:53,82.6,61.0,peak,0.951,1.6,29.8,peak,75.5,51.6
17:41:53,82.5,70.0,peak,0.962,1.7,29.8,peak,75.3,51.6
17:41:53,82.3,66.0,peak,0.96,1.8,29.0,peak,74.4,51.6
17:41:53,82.1,61.0,peak,0.957,1.8,29.0,peak,73.8,51.6
17:41:54,82.0,61.0,peak,0.955,0.0,29.0,peak,73.8,83.8
17:41:54,81.8,73.0,peak,0.961,1.6,29.0,peak,68.8,84.6
17:41:54,81.6,73.0,peak,0.959,1.6,30.3,peak,67.6,85.1
17:41:55,81.5,57.0,peak,0.952,0.0,30.3,peak,68.8,85.4
17:41:55,81.3,51.0,peak,0.953,1.8,30.3,peak,120.2,85.6
17:41:55,81.2,49.0,peak,0.957,1.6,30.3,peak,100.8,85.8
17:41:55,81.0,57.0,peak,0.958,0.0,29.9,peak,118.4,51.6
17:41:56,81.2,69.0,peak,0.957,1.7,29.9,peak,121.5,51.7
